query_id,rank,doc_id,score,relevant
1,1,10608397,0.11653519421815872,0
1,2,3845894,0.09938884526491165,0
1,3,10607877,0.0948992371559143,0
1,4,40212412,0.07984927296638489,0
1,5,10931595,0.07874549925327301,0
1,6,31543713,0.07214561104774475,0
1,7,6863070,0.06825941801071167,0
1,8,10029970,0.06450681388378143,0
1,9,25404036,0.06228690966963768,0
1,10,44947611,0.059538163244724274,0
1,11,16939583,0.05845324322581291,0
1,12,9580772,0.05715310201048851,0
1,13,3203590,0.05563216283917427,0
1,14,42240424,0.05516669899225235,0
1,15,803312,0.0550498329102993,0
1,16,19651306,0.05431213229894638,0
1,17,27049238,0.05367934703826904,0
1,18,38037690,0.05352906510233879,0
1,19,12824568,0.052849169820547104,0
1,20,1771079,0.05024014785885811,0
1,21,43385013,0.04978203773498535,0
1,22,28436879,0.04927657172083855,0
1,23,3770726,0.048891521990299225,0
1,24,825728,0.048060156404972076,0
1,25,12801438,0.04798275604844093,0
1,26,24998637,0.047404080629348755,0
1,27,17123657,0.0448821485042572,0
1,28,7581911,0.04290999099612236,0
1,29,16461149,0.04252474382519722,0
1,30,11016788,0.04065171629190445,0
1,31,10906636,0.038526155054569244,0
1,32,11141995,0.03807180002331734,0
1,33,27077180,0.03789496421813965,0
1,34,25657127,0.03787052258849144,0
1,35,4465608,0.03780001029372215,0
1,36,4422734,0.03773243725299835,0
1,37,2665425,0.03763338178396225,0
1,38,40584205,0.037596896290779114,0
1,39,11390393,0.037373848259449005,0
1,40,20707861,0.03727136552333832,0
1,41,1346695,0.037205394357442856,0
1,42,16541762,0.036855168640613556,0
1,43,25950264,0.036776408553123474,0
1,44,17388232,0.03670341894030571,0
1,45,15327601,0.036023132503032684,0
1,46,1322614,0.03576931357383728,0
1,47,20758340,0.03531095013022423,0
1,48,21874414,0.03512571379542351,0
1,49,37437064,0.03511592745780945,0
1,50,13903052,0.03510582819581032,0
1,51,4363526,0.035082221031188965,0
1,52,39174007,0.034866757690906525,0
