path,type,size_bytes,blob_sha
"chapters/scientific_ai/code/figure_02_scientific_discovery.py",py,2403,fe6b7a899c29f447c9ca04f3e0827c4299937074
"chapters/scientific_ai/code/figure_03_scientific_ai_evolution.py",py,3252,4d2769dc892263f08b413caf091c042a7f318005
"chapters/scientific_ai/code/figure_04_data_provenance.py",py,2639,1655d5510f97e4eb235fa0f1d5bea310fc354d32
"chapters/scientific_ai/code/figure_05_whole_slide_imaging.py",py,2379,6aff030303e0214c4fce55890d7f903b0cc213b9
"chapters/scientific_ai/code/figure_06_drug_discovery.py",py,999,d200c17d8ef706347656c58e42280a7e0dceee61
"chapters/scientific_ai/code/figure_07_multimodal_oncology.py",py,2314,2deff537cd1644b1b0763d9f6fd19c41a944f892
"chapters/scientific_ai/code/figure_08_wdbc_baselines.py",py,3097,6ac8c4ca4c25e799452c436a05555b03c1cdaea4
"chapters/scientific_ai/code/figure_09_digital_twin.py",py,1627,5a441c78dcecc7a2f39240071505929eaa435370
"chapters/scientific_ai/code/figure_10_pinn_workflow.py",py,2279,1788f49802aba21596eb3bb16b5c7d900566c64e
"chapters/scientific_ai/code/figure_11_pinn_residual.py",py,3188,bcdab2821ac98557769859580c6b48c8dd2b06b0
"chapters/scientific_ai/code/figure_12_retinal_pipeline.py",py,2117,42970bf8ce693867ab4dca96eb114edafeedd9d9
"chapters/scientific_ai/code/run_all.py",py,573,771ffdb64cf01642059a478bfe7a1e58489368f5
"chapters/scientific_ai/figure_generation/generate_figures.py",py,2325,0cd8c31f433ac7b45f01228932ba7c2071b11a9c
"chapters/scientific_ai/ophthalmology/figure_14_gradcam_retinal_application/figure_14_gradcam_retinal.py",py,5757,e25e82d86d4456bdc45b9bbb789ce19650250496
"chapters/scientific_ai/ophthalmology/figure_14_gradcam_retinal_application/figure_14_provenance.json",json,987,1443ed73d6e88c0b4c2cff33e73f3a7342b74e3d
"chapters/scientific_ai/production_pass14/generate_closure_figures.py",py,1838,573756aab15262e0781bc46eebe823524a2cac2d
"chapters/scientific_ai/production_pass14/resolve_remaining.py",py,5175,177d467005cc9b06f72eb502d46510ee0c09460f
"chapters/scientific_ai/production_pass14/resolve_remaining_figures.py",py,5316,d7759b4ce356230c66e924f05e606f3b5e268590
"chapters/scientific_ai/requirements.txt",txt,49,bcf9c15648789e54bc75ffecfdc65099b86e9439
